Entrez_IDs,Gene_Symbol,d0,d7,d12,d19,d26,d33,d49,d63,d77,Cluster,Radius,Angle,Autism,Holoprosencephaly,Microcephaly,Lissencephaly,Alzheimers,Tauopathy
390980,ZNF805,-0.7488325225,-0.7166026261,-0.277955516,-0.3836972562,-0.5118946943,2.461358063,0.5020285207,0.0330880315,-0.3574920002,4,1.0692755294,1.6691219443,no,no,no,no,no,no
390992,HES3,-0.0760182557,2.6504367342,-0.2291669618,-0.3872133894,-0.3807958424,-0.3901688867,-0.3963966107,-0.3963966107,-0.394280177,2,1.5969115602,3.8455911699,no,no,no,no,no,no
390999,PRAMEF12,-1.9003105545,-0.5274007824,-0.8880958829,1.374197896,0.3535674459,0.3635806263,0.4765524784,-0.2046418522,0.9525506253,4,2.3036313363,1.7903250971,no,no,no,no,no,no
391,RHOG,2.5171872195,0.1442742329,-0.7060716586,-0.1082769057,-0.8059153952,0.0580829581,-0.1552747746,-0.5431909825,-0.400814694,1,2.6677919518,5.2980013672,no,no,no,no,no,no
3910,LAMA4,-1.2895863951,-1.3282593796,-0.7533524868,0.0770328807,0.7919913852,-0.0062208038,0.006417416,0.9031782071,1.5987991764,5,2.574433011,1.2155326039,no,no,no,no,no,no
3911,LAMA5,0.5723580898,-0.7939020126,-1.3093862493,-0.4497109259,-0.4764505909,-0.4390160116,-0.1203411064,1.2420575047,1.7743913023,6,2.6660680315,0.373206517,no,no,no,no,no,no
391123,VSIG8,-0.3540813195,-1.2442000287,-1.1147132613,0.3396728692,-0.3237346325,-0.2618006862,-0.1261516158,1.4406903121,1.6443183626,6,2.6392033426,0.765404514,no,no,no,no,no,no
3912,LAMB1,-1.2312351553,0.7525177428,0.0316360484,-0.0314839669,-0.9239353802,-0.3285268053,-0.8219447284,0.5624231936,1.9905490513,6,1.3778938474,1.5138050012,yes,no,no,no,no,no
3913,LAMB2,-1.4639421223,-0.8425425527,-1.1271549328,-0.3873522431,0.1466323577,0.7404591362,1.3995301529,0.6650476576,0.8693225466,5,2.5674949225,1.3290670209,no,no,no,no,no,no
391322,LOC391322,2.3651550451,-0.0299929073,0.3064793291,-0.2128665304,0.1638143008,-0.4608561907,-0.5756683846,-1.2702792408,-0.2857854211,1,2.6598440522,4.9801107811,no,no,no,no,no,no
391365,SULT6B1,2.6504181152,-0.0969033817,-0.4039663573,-0.4039663573,-0.4039663573,-0.4039663573,-0.2054382332,-0.4039663573,-0.328244714,1,2.8079872941,5.3230025314,no,no,no,no,no,no
391518,VENTXP7,2.6184285633,-0.3918019972,0.160768817,-0.3333234579,-0.4454718855,-0.3426873273,-0.4454718855,-0.4454718855,-0.3749689415,1,2.7843305719,5.253348315,no,no,no,no,no,no
391712,TRIM61,1.3700123843,1.9018726285,0.1222534569,-0.9130717893,-0.2254136473,-0.1738179572,-0.5575310801,-0.5344632454,-0.9898407503,2,2.3328431074,4.5156329924,no,no,no,no,no,no
3918,LAMC2,2.1611496053,-0.8943978894,-0.8709468027,-0.5593839169,-0.6765235008,-0.4007329232,-0.0499950691,0.6908794318,0.599951065,1,2.8200423074,5.9556220715,no,no,no,no,no,no
392,ARHGAP1,2.335628887,-0.5948779699,-0.8746634657,-0.4884838467,-0.6677860799,0.7095096696,-0.159431893,-0.4289223357,0.1690270343,1,2.5308593207,5.6309072118,no,no,no,no,no,no
3920,LAMP2,-1.2813525673,-1.5875715463,-0.6897890249,-0.0463486767,-0.0169539147,0.8498006944,1.0501619987,1.0219191458,0.700133891,5,2.6008805465,1.2368326507,no,no,no,no,no,no
3921,RPSA,0.9204598737,1.5236659384,1.2484914557,-0.2850770034,-0.3604673648,-0.0432240242,-0.8425681322,-1.1640148167,-0.9972659265,2,2.673086064,4.191509299,no,no,no,no,no,no
392255,GDF6,-1.0697613288,-0.8546633726,1.4776944977,1.2609971093,0.5940406467,0.6956175059,-0.5542984384,-0.8330386786,-0.7165879413,3,1.8261912298,3.0091316338,no,no,no,no,no,no
392307,C9orf128,-1.1659935074,-1.2314886998,-0.0861199186,1.9295211009,1.0601603558,-0.0964714328,0.1201265057,-0.0352587963,-0.4944756075,4,1.4350421613,2.1928354437,no,no,no,no,no,no
392360,CTSL3,2.6576915682,-0.3353448731,-0.3860195133,-0.4043918305,-0.3278010884,-0.3829217189,-0.3221270579,-0.1285387596,-0.3705467265,1,2.8092253002,5.3898318215,no,no,no,no,no,no
392490,FLJ44635,-0.5229468067,0.2680159267,-0.3793430212,-0.9312006354,-0.0632607478,1.932518069,0.6209037348,-1.485081328,0.5603948086,3,0.634801614,2.3493238704,no,no,no,no,no,no
3925,STMN1,0.2696276322,1.6825710874,1.4867130798,-0.3060225436,0.1202976262,-0.8140018625,-0.519054463,-0.9943518175,-0.925778739,2,2.5596708911,3.9347238576,no,no,no,no,no,no
392617,ELFN1,-2.0948985617,-0.5471166707,0.0213426601,0.2800652545,0.4160813936,0.750378533,1.3950498437,0.4025870896,-0.623489542,4,2.380164559,2.0845111747,no,no,no,no,no,no
392636,AGMO,1.1125364055,1.8098428544,0.141348034,0.0613186619,0.1540541807,-0.9313594186,-1.4369938064,-0.6700221439,-0.2407247676,2,2.1561604392,4.4442278243,no,no,no,no,no,no
3927,LASP1,2.400910176,-0.2593330637,-0.8726812556,-0.4076619,-0.7896992713,0.2772689272,0.3809421995,-0.6185769251,-0.1111688871,1,2.5322304885,5.5039930346,no,no,no,no,no,no
3929,LBP,2.6473900176,-0.1026380426,-0.2316137587,-0.2670189517,-0.4077833362,-0.3056681417,-0.3996873323,-0.4425008172,-0.490479637,1,2.8160951584,5.2424805889,no,no,no,no,no,no
393,ARHGAP4,2.2629920389,-0.6985838511,-1.3171945498,0.0715218201,0.4548701987,0.029814118,0.107191535,-0.3635491869,-0.5470621228,1,2.2915526611,5.5407100354,no,no,no,no,no,no
3930,LBR,2.0691091521,0.9373940102,0.5750213178,-0.1305930694,-0.6003268735,-0.5003399949,-0.6201480298,-0.8507736044,-0.8793429082,2,2.7779796005,4.7314590699,no,no,no,no,no,no
3932,LCK,2.6666516417,-0.32455615,-0.3340822553,-0.334350752,-0.3343107682,-0.3339111219,-0.3352695889,-0.3354953368,-0.3346756687,1,2.8105708552,5.3487669609,no,no,no,no,no,no
3936,LCP1,2.6665255538,-0.3252545797,-0.3223920886,-0.3272109009,-0.3556483269,-0.3322017181,-0.3395992283,-0.3385396993,-0.325679012,1,2.8119981313,5.348527909,no,no,no,no,no,no
3937,LCP2,2.3706211181,-0.7604805776,-0.6367348628,0.4279484962,0.3133702378,-0.9280298011,-0.4296268178,-0.1261627212,-0.2309050717,1,2.4641018327,5.4716992782,no,no,no,no,no,no
3939,LDHA,0.6368850599,-0.5638434249,0.8705040704,-0.7270039662,2.1172908625,-0.8665598625,-0.6175787291,-0.3414627281,-0.508231282,2,0.9955519465,4.4010343581,no,no,no,no,no,no
394,ARHGAP5,-2.355055701,-0.272785718,0.7619484921,-0.3020079841,0.1334562685,0.885136088,0.8963106002,0.3147449944,-0.0617470402,4,2.5415204,2.1665706776,no,no,no,no,no,no
3945,LDHB,2.1579180437,0.4475386929,0.8854691609,-0.360376664,-0.3203630523,-0.4933496024,-0.5778062353,-0.733184266,-1.0058460774,2,2.7700606995,4.7725621287,no,no,no,no,no,no
3948,LDHC,1.2636916832,2.0326464249,-0.1193919984,-0.0666595718,-0.6313481109,-0.7392726854,-0.8278213021,-0.1345259658,-0.7773184735,2,2.1329613757,4.5650923889,no,no,no,no,no,no
